kegg	kegg_ncbi	lastmajorreleaseaccession	similarity	assemblystatus	g	lineage	status
CPSN	GCA_000298555.2	GCF_000298555.2	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CPSC	GCA_000298535.2	GCF_000298535.2	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CPSW	GCA_000298515.2	GCF_000298515.2	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CPSM	GCA_000298495.2	GCF_000298495.2	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CPST	GCA_000298475.2	GCF_000298475.2	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CPSV	GCA_000298455.2	GCF_000298455.2	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CPSI	GCA_000298435.2	GCF_000298435.2	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CPSG	GCA_000298415.1	GCF_000298415.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CPSB	GCA_000298375.2	GCF_000298375.2	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CTY	GCA_000284475.1	GCF_000284475.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CHT	GCA_000270445.1	GCF_000270445.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CHI	GCA_000270425.1	GCF_000270425.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CHS	GCA_000270405.1	GCF_000270405.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CHC	GCA_000270385.1	GCF_000270385.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CRA	GCA_000226605.1	GCF_000226605.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CTO	GCA_000220105.1	GCF_000220105.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CSW	GCA_000210495.1	GCF_000210495.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CHB	GCA_000204255.1	GCF_000204255.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CPM	GCA_000204135.1	GCF_000204135.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CHP	GCA_000191925.1	GCF_000191925.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CTF	GCA_000093005.1	GCF_000093005.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CTV	GCA_000092805.1	GCF_000092805.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CTG	GCA_000092745.1	GCF_000092745.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CTN	GCA_000092725.1	GCF_000092725.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CTQ	GCA_000092705.1	GCF_000092705.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CTW	GCA_000092685.1	GCF_000092685.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CTK	GCA_000092665.1	GCF_000092665.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CTD	GCA_000092485.1	GCF_000092485.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CTB	GCF_000068585.1	GCF_000068585.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CTL	GCA_000068525.2	GCF_000068525.2	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CTJ	GCA_000026925.1	GCF_000026925.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CTZ	GCA_000026905.1	GCF_000026905.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CAB	GCA_000026025.1	GCF_000026025.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CLP	GCA_000024145.1	GCF_000024145.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CTA	GCA_000012125.1	GCF_000012125.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CPJ	GCA_000011165.1	GCF_000011165.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CFE	GCA_000009945.1	GCF_000009945.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CPN	GCF_000008745.1	GCF_000008745.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CTR	GCF_000008725.1	GCF_000008725.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CCA	GCA_000007605.1	GCF_000007605.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CPT	GCA_000007205.1	GCF_000007205.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
CMU	GCA_000006685.1	GCF_000006685.1	identical	Complete Genome	Chlamydiae	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia	OK
ZPA	GCA_003054515.1	GCF_003054515.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; unclassified Zoogloeaceae	OK
TAK	GCA_003030465.1	GCF_003030465.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; Thauera	OK
THK	GCA_002354895.1	GCF_002354895.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; Thauera	OK
TCL	GCA_001922305.1	GCF_001922305.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; Thauera	OK
THU	GCA_001051995.2	GCF_001051995.2	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; Thauera	OK
TMZ	GCA_000021765.1	GCF_000021765.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; Thauera	OK
AZQ	GCA_010983895.1	GCF_010983895.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; Azoarcus; unclassified Azoarcus	OK
AZR	GCA_006496635.1	GCF_006496635.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; Azoarcus; unclassified Azoarcus	OK
AZD	GCA_003628555.1	GCF_003628555.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; Azoarcus; unclassified Azoarcus	OK
ATW	GCA_002872475.1	GCF_002872475.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; Azoarcus; unclassified Azoarcus	OK
AZI	GCA_001190925.1	GCF_001190925.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; Azoarcus; unclassified Azoarcus	OK
AZA	GCA_000349945.1	GCF_000349945.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; Azoarcus; unclassified Azoarcus	OK
AZO	GCA_000061505.1	GCF_000061505.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; Azoarcus; unclassified Azoarcus	OK
ACOM	GCA_003111645.1	GCF_003111645.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; Azoarcus	OK
AOA	GCA_001682385.1	GCF_001682385.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; Azoarcus	OK
OTR	GCA_008274805.1	GCF_008274805.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Oryzomicrobium	OK
DSU	GCA_000236665.1	GCF_000236665.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Azospira	OK
EBA	GCA_000025965.1	GCF_000025965.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Aromatoleum	OK
RBH	GCA_002863805.1	GCF_002863805.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae	OK
DEY	GCA_003441615.1	GCF_003441615.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Azonexaceae; Dechloromonas; unclassified Dechloromonas	OK
DAR	GCA_000012425.1	GCF_000012425.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Azonexaceae; Dechloromonas	OK
TBD	GCA_000012745.1	GCF_000012745.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Thiobacillaceae; Thiobacillus	OK
SHD	GCA_000828635.1	GCF_000828635.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Sterolibacteriaceae; Sulfuritalea	OK
METR	GCA_001713355.1	GCF_001713355.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Sterolibacteriaceae; Methyloversatilis; unclassified Methyloversatilis	OK
NLC	GCA_000355765.4	GCF_000355765.4	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosospira	OK
NMU	GCA_000196355.1	GCF_000196355.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosospira	OK
NST	GCA_006742785.1	GCF_006742785.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosomonas	OK
NUR	GCA_001455205.1	GCF_001455205.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosomonas	OK
NCO	GCA_001007935.1	GCF_001007935.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosomonas	OK
NII	GCA_000219585.1	GCF_000219585.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosomonas	OK
NIT	GCA_000175095.2	GCF_000175095.2	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosomonas	OK
NET	GCA_000014765.1	GCF_000014765.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosomonas	OK
NEU	GCA_000009145.1	GCF_000009145.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosomonas	OK
MEP	GCA_000183115.1	GCF_000183115.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Methylophilaceae; Methylovorus; unclassified Methylovorus	OK
MEI	GCA_000023745.1	GCF_000023745.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Methylophilaceae; Methylovorus	OK
MEH	GCA_000093025.1	GCF_000093025.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Methylophilaceae; Methylotenera	OK
MMB	GCA_000023705.1	GCF_000023705.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Methylophilaceae; Methylotenera	OK
MEU	GCA_001183865.1	GCF_001183865.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Methylophilaceae; Methylophilus; unclassified Methylophilus	OK
MFA	GCA_000013705.1	GCF_000013705.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Methylophilaceae; Methylobacillus	OK
MBAT	GCA_000981505.1	GCF_000981505.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Methylophilaceae; Candidatus Methylopumilus	OK
MBAC	GCA_000953015.1	GCF_000953015.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Methylophilaceae; Candidatus Methylopumilus	OK
SULF	GCA_002162035.1	GCF_002162035.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Gallionellaceae; Sulfuriferula; unclassified Sulfuriferula	OK
SPLB	GCA_009938015.1	GCF_009938015.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Gallionellaceae; Sulfuriferula	OK
SNIV	GCA_009937995.1	GCF_009937995.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Gallionellaceae; Sulfuriferula	OK
SDR	GCA_000297055.2	GCF_000297055.2	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Gallionellaceae; Sulfuricella	OK
SLT	GCA_000025705.1	GCF_000025705.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Gallionellaceae; Sideroxydans	OK
GCA	GCA_000145255.1	GCF_000145255.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Gallionellaceae; Gallionella	OK
FAM	GCA_000974685.2	GCF_000974685.2	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Gallionellaceae; Ferriphaselus	OK
NIM	GCA_013168275.1	GCF_013168275.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Gallionellaceae; Candidatus Nitrotoga; unclassified Candidatus Nitrotoga	OK
VIT	GCA_002951955.1	GCF_002951955.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Vitreoscilla; unclassified Vitreoscilla	OK
VFF	GCA_002222655.1	GCF_002222655.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Vitreoscilla	OK
NBA	GCA_002892535.1	GCF_002892535.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; unclassified Neisseriaceae	OK
SALV	GCA_000600005.1	GCF_000600005.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Snodgrassella	OK
SMUR	GCA_002951835.1	GCF_002951835.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Simonsiella	OK
NEK	GCA_002237445.1	GCF_002237445.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria; unclassified Neisseria	OK
NWE	GCA_900086555.1	GCF_900086555.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NBL	GCA_009671065.1	GCF_009671065.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NZL	GCA_008807015.1	GCF_008807015.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NAQ	GCA_008806995.1	GCF_008806995.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NSF	GCA_005221305.1	GCF_005221305.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NFV	GCA_005221285.1	GCF_005221285.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NMJ	GCA_003028315.1	GCF_003028315.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NEI	GCA_002216145.1	GCF_002216145.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NSI	GCA_002073715.2	GCF_002073715.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NEL	GCA_000818035.1	GCF_000818035.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NMX	GCA_000626595.1	GCF_000626595.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NMW	GCA_000253215.1	GCF_000253215.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NLA	GCA_000196295.1	GCF_000196295.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NMZ	GCA_000191525.1	GCF_000191525.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NMQ	GCA_000191505.1	GCF_000191505.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NMS	GCA_000191485.1	GCF_000191485.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NMM	GCA_000191465.1	GCF_000191465.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NMH	GCA_000191445.1	GCF_000191445.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NMD	GCA_000191425.1	GCF_000191425.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NMP	GCA_000152165.1	GCF_000152165.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NMI	GCA_000083565.1	GCF_000083565.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NMT	GCA_000026965.1	GCF_000026965.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NGK	GCA_000020105.1	GCF_000020105.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NMN	GCA_000014105.1	GCF_000014105.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NMC	GCA_000009465.1	GCF_000009465.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NMA	GCA_000009105.1	GCF_000009105.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NME	GCF_000008805.1	GCF_000008805.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
NGO	GCF_000006845.1	GCF_000006845.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	OK
KKI	GCA_001458475.1	GCF_001458475.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Kingella	OK
ECOR	GCA_900187105.1	GCF_900187105.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Eikenella	OK
EEX	GCA_008805035.1	GCF_008805035.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Eikenella	OK
PSE	GCA_000283535.1	GCF_000283535.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Pseudogulbenkiania; unclassified Pseudogulbenkiania	OK
LHK	GCA_000021025.1	GCF_000021025.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Laribacter	OK
JEU	GCA_001808185.1	GCF_001808185.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Jeongeupia; unclassified Jeongeupia	OK
IOD	GCA_003952345.1	GCF_003952345.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Iodobacter	OK
CHRM	GCA_008275125.1	GCF_008275125.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Chromobacterium; unclassified Chromobacterium	OK
CHRB	GCA_003325495.1	GCF_003325495.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Chromobacterium; unclassified Chromobacterium	OK
CHRI	GCA_003325475.1	GCF_003325475.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Chromobacterium; unclassified Chromobacterium	OK
CHRO	GCA_002848345.1	GCF_002848345.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Chromobacterium; unclassified Chromobacterium	OK
CRZ	GCA_003443515.1	GCF_003443515.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Chromobacterium	OK
CVC	GCA_001855275.1	GCF_001855275.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Chromobacterium	OK
CVI	GCA_000007705.1	GCF_000007705.1	identical	Complete Genome	Beta Proteobacteria	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Chromobacterium	OK
